Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
96401,Bàn Chải Đánh Răng Sensodyne Làm Sạch Sâu Kẽ Răng (1 Cây),Deep Clean Soft,Sensodyne,Chăm Sóc Cá Nhân / Chăm Sóc Răng Miệng / Bàn Chải Đánh Răng,44000,43000,2,1 cây,3.0,1,17.0,https://hasaki.vn/san-pham/ban-chai-danh-rang-sensodyne-deep-clean-soft-lam-sach-sau-96401.html
129724,Dung Dịch Vệ Sinh Nam Giới Wolf On Hương Socola Cà Phê 95ml,Men's Intimate Wash - Choco Coffee,Wolf On,Chăm Sóc Cá Nhân / Chăm Sóc Phụ Nữ / Dung Dịch Vệ Sinh,110000,91000,17,95ml,0.0,0,8.0,https://hasaki.vn/san-pham/dung-dich-ve-sinh-nam-gioi-wolf-on-huong-socola-ca-phe-95ml-129724.html
129888,Nước Hoa Nam Nữ Emmié My Destiny EDP 15ml,Eau De Parfum,Emmié by Happy Skin,Nước Hoa / Nước Hoa Nữ,219000,175000,20,15ml,0.0,0,5.0,https://hasaki.vn/san-pham/nuoc-hoa-emmie-nam-nu-my-destiny-edp-15ml-129888.html
115245,Cọ Môi Vacosi Lông Dài L02,Lip Pro Brush,Vacosi,Trang Điểm / Dụng Cụ Trang Điểm / Cọ Trang Điểm,40000,33000,17,1 cây,5.0,3,22.0,https://hasaki.vn/san-pham/co-moi-vacosi-long-dai-l02-115245.html
65624,Chì Kẻ Mày & Kẻ Mắt MiraCulous Màu 5 Nâu Đậm,Secret Pen Maker,Miraculous,Trang Điểm / Trang Điểm Mắt / Kẻ Mày,72000,61000,15,05,5.0,4,12.0,https://hasaki.vn/san-pham/chi-ke-may-miraculous-2-dau-mau-5-nau-dam-65624.html
123444,[Mini] Bấm Mi 3CE Trong Suốt,Eyelash Curler,3CE,Trang Điểm / Dụng Cụ Trang Điểm / Bấm Mi,200000,29000,85,1 món,0.0,0,25.0,https://hasaki.vn/san-pham/mini-bam-mi-3ce-trong-suot-123444.html
96657,Mặt Nạ Garnier Tinh Chất Sữa Tươi & Vitamin C Sáng Da 28g,Light Complete Bright Up Serum Mask - Milky Essence & Vitamin C,Garnier,Chăm Sóc Da Mặt / Mặt Nạ / Mặt Nạ Giấy,39000,35000,10,28g,5.0,2,21.0,https://hasaki.vn/san-pham/mat-na-tinh-chat-garnier-sua-tuoi-vitamin-c-sang-da-28g-96657.html
129868,"Dung Dịch Vệ Sinh Emmié Tạo Bọt Cấp Ẩm, Kháng Khuẩn 100ml",Anti-Odor Soothing Intimate Care Wash,Emmié by Happy Skin,Chăm Sóc Cá Nhân / Chăm Sóc Phụ Nữ / Dung Dịch Vệ Sinh,139000,109000,22,100ml,0.0,0,7.0,https://hasaki.vn/san-pham/dung-dich-ve-sinh-emmie-tao-bot-cap-am-khang-khuan-100ml-129868.html
134909,Miếng Rửa Mặt Vacosi Silicone Đa Năng Cỡ Nhỏ Màu Hồng DC12-HN,Mufe Mofe - Silicone Face Cleanser Small Pink,Vacosi,Chăm Sóc Da Mặt / Dụng Cụ / Phụ Kiện Chăm Sóc Da / Dụng Cụ / Máy Rửa Mặt,45000,38000,16,1 cái,0.0,0,19.0,https://hasaki.vn/san-pham/mieng-rua-mat-vacosi-silicone-da-nang-co-nho-mau-hong-dc12-hn-134909.html
113483,"Mặt Nạ Lebelage Coenzyme Q10 Chống Oxy Hóa, Ngừa Nếp Nhăn 25g",Coenzyme Q10 Solution Mask Pack,Lebelage,Chăm Sóc Da Mặt / Mặt Nạ / Mặt Nạ Giấy,15000,8000,47,25g,3.0,1,91.0,https://hasaki.vn/san-pham/mat-na-lebelage-coenzyme-q10-chong-oxy-hoa-ngua-nep-nhan-25g-113483.html
